Epoch,train_loss,train_acc,test_loss,test_acc,F1_Score
1,1.0159,0.6140,0.9584,0.6188,0.6331
2,0.8811,0.8372,0.8217,0.9125,0.9072
3,0.7582,0.9211,0.6758,0.9437,0.9406
4,0.6312,0.9457,0.5475,0.9521,0.9495
5,0.5321,0.9589,0.4531,0.9583,0.9562
6,0.4655,0.9583,0.4003,0.9625,0.9605
7,0.4093,0.9764,0.3724,0.9750,0.9738
8,0.3879,0.9759,0.3585,0.9750,0.9738
9,0.3780,0.9649,0.3490,0.9750,0.9738
10,0.3520,0.9907,0.3424,0.9771,0.9760
11,0.3582,0.9709,0.3371,0.9812,0.9804
12,0.3420,0.9896,0.3341,0.9812,0.9804
13,0.3348,0.9951,0.3319,0.9812,0.9804
14,0.3317,0.9945,0.3307,0.9833,0.9826
15,0.3265,0.9984,0.3290,0.9854,0.9848
16,0.3300,0.9940,0.3275,0.9833,0.9826
17,0.3253,0.9967,0.3271,0.9854,0.9848
18,0.3340,0.9857,0.3262,0.9812,0.9804
19,0.3257,0.9945,0.3252,0.9812,0.9804
20,0.3359,0.9879,0.3247,0.9812,0.9804
21,0.3190,0.9967,0.3238,0.9833,0.9826
22,0.3280,0.9890,0.3229,0.9854,0.9848
23,0.3344,0.9896,0.3226,0.9854,0.9848
24,0.3183,0.9973,0.3217,0.9875,0.9869
25,0.3363,0.9879,0.3214,0.9875,0.9869
26,0.3240,0.9896,0.3207,0.9875,0.9869
27,0.3165,0.9973,0.3202,0.9875,0.9869
28,0.3129,0.9989,0.3200,0.9875,0.9869
29,0.3222,0.9890,0.3201,0.9875,0.9869
30,0.3173,0.9973,0.3198,0.9875,0.9869
31,0.3265,0.9912,0.3197,0.9875,0.9869
32,0.3137,0.9989,0.3186,0.9875,0.9869
33,0.3275,0.9901,0.3187,0.9875,0.9869
34,0.3133,0.9984,0.3190,0.9875,0.9869
35,0.3089,0.9995,0.3190,0.9875,0.9869
36,0.3226,0.9907,0.3189,0.9875,0.9869
37,0.3126,0.9984,0.3192,0.9875,0.9869
38,0.3062,0.9995,0.3192,0.9875,0.9869
39,0.3293,0.9912,0.3194,0.9875,0.9869
40,0.3048,1.0000,0.3188,0.9875,0.9869
41,0.3191,0.9901,0.3184,0.9875,0.9869
42,0.3045,1.0000,0.3186,0.9875,0.9869
43,0.3093,0.9989,0.3192,0.9875,0.9869
44,0.3204,0.9885,0.3189,0.9875,0.9869
45,0.3197,0.9885,0.3189,0.9854,0.9848
46,0.3229,0.9907,0.3177,0.9875,0.9869
47,0.3228,0.9819,0.3179,0.9875,0.9869
48,0.3060,0.9989,0.3182,0.9875,0.9869
49,0.3104,0.9984,0.3179,0.9875,0.9869
50,0.3131,0.9973,0.3187,0.9875,0.9869
